actual,proposed
0.30000463128089905,0.23736467957496643
0.3015044629573822,0.23859436810016632
0.30300432443618774,0.23980991542339325
0.3045041859149933,0.24104897677898407
0.30600404739379883,0.24226310849189758
0.30750390887260437,0.24350154399871826
0.3090038001537323,0.24471524357795715
0.15238399803638458,0.24594764411449432
0.15276455879211426,0.24427632987499237
0.15529286861419678,0.24311032891273499
0.15776026248931885,0.2418752908706665
0.1601690798997879,0.24073274433612823
0.15519747138023376,0.23960337042808533
0.1531791090965271,0.23831525444984436
0.1467219442129135,0.237150177359581
0.13588865101337433,0.23592515289783478
0.12945690751075745,0.23346668481826782
0.10351292043924332,0.2320159375667572
0.0841178223490715,0.23057259619235992
0.06923216581344604,0.2290154993534088
0.05006934329867363,0.22740423679351807
0.026684356853365898,0.22564470767974854
0.003488851711153984,0.22376585006713867
0.0,0.22172409296035767
0.0,0.2196095883846283
0.0,0.2173181176185608
0.0,0.21485543251037598
0.0,0.21220389008522034
0.0,0.2093876600265503
0.0,0.20644497871398926
0.0,0.20335349440574646
0.0,0.2001372128725052
0.0,0.19685210287570953
0.0,0.1933872103691101
0.0,0.18982000648975372
0.0,0.1824924498796463
0.0,0.17873001098632812
0.0,0.17483660578727722
0.0,0.17092248797416687
0.0,0.1669437736272812
0.0,0.1629522293806076
0.0,0.1588970422744751
0.0,0.1548340618610382
0.0,0.15080927312374115
0.0,0.14674195647239685
0.0,0.1427002102136612
0.0,0.13865214586257935
0.0,0.13462425768375397
0.0,0.13059955835342407
0.0,0.12664087116718292
0.0,0.12277315557003021
0.0,0.11904315650463104
0.0,0.115486741065979
0.0,0.1120309829711914
0.0,0.10868601500988007
0.0,0.10546723753213882
0.0,0.10234226286411285
0.0,0.09935040026903152
0.0,0.09646230936050415
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.1904260516166687
0.0,0.17383404076099396
0.00997406430542469,0.17283092439174652
0.022319070994853973,0.17193160951137543
0.043141577392816544,0.17116498947143555
0.05925390496850014,0.17056788504123688
0.075090691447258,0.17009694874286652
0.09938178211450577,0.16977038979530334
0.11894083023071289,0.1696099489927292
0.1294858455657959,0.16960328817367554
